Vídeo,Título do vídeo,Horário de publicação do vídeo,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
ooJdl9jsPzE,Pré-Jogo - #16 - Guarani x Santo André - 4 Rodada - Campeonato Paulista 2020,"Feb 2, 2020",,,,3,0
pS14siGV_Oc,Pós-Jogo - #03 - Guarani x Cuiabá - 11 Rodada - Série B 2019,"Jul 24, 2019",,,,20,0
pt0rtLbW4iY,Pós-Jogo - #17 - Brasil x Guarani - 25 Rodada - Série B 2019,"Sep 29, 2019",,,,5,0
re0G7urkM64,Pós-Jogo - #18 - Guarani x Atlético-GO - 26 Rodada - Série B 2019,"Oct 2, 2019",,,,10,0
swOpOc0bajA,Pós-Jogo - #08 - Guarani x Vila Nova - 16 Rodada - Séria B 2019,"Aug 19, 2019",,,,9,0
t1Mrz_BRNu0,Pós-jogo - #27 - Vila Nova x Guarani - 35 Rodada - Série B 2019,"Nov 15, 2019",,,,16,0
tFsy5KHVLqM,Pós-Jogo - #07 - x Guarani - 15 Rodada - Série B 2019,"Aug 13, 2019",,,,5,0
uqzq-xeWwBQ,Pós-Jogo - #16 - Guarani x Criciuma - 22 Rodada - Série B 2019,"Sep 26, 2019",,,,17,0
w5IpB5dLyBc,Pós-Jogo - #14 - Vitoria x Guarani - 22 Rodada - Série B 2019,"Sep 16, 2019",,,,18,0
xLfTSbyChs4,Pós-Jogo - #32 - Guarani x Santos - 2 Rodada - Campeonato Paulista 2020,"Jan 29, 2020",,,,72,0
yeB1gYHOVvY,Especial - #04 - O Derbi que mais me marcou parte 2,"Nov 8, 2019",,,,2,0
